Títol,Autor,Prestatge,Posicio,Habitacio,Tipus,Editorial,Idioma,Notes,
Les Metamorfosis I,Ovidi,1,1,Despatx,Poesia,Fundació Bernat Metge,Català;Llatí,Falsa èpica;Llibres I - V,
Les Metamorfosis II,Ovidi,1,1,Despatx,Poesia,Fundació Bernat Metge,Català;Llatí,Falsa èpica;Llibres VI - X,
Les Metamorfosis III,Ovidi,1,1,Despatx,Poesia,Fundació Bernat Metge,Català;Llatí,Falsa èpica;Llibres IX - XV,
Els ocells,Aristòfanes,1,1,Despatx,Teatre,Fundació Bernat Metge,Català;Grec,Comèdia,
Lisístrata,Aristòfanes,1,1,Despatx,Teatre,Fundació Bernat Metge,Català;Grec,Comèdia,
Idil·lis I,Teòcrit,1,1,Despatx,Poesia,Fundació Bernat Metge,Català;Grec,,
L'Orestea,Èsquil,1,1,Despatx,Teatre,Fundació Bernat Metge,Català;Grec,Agamèmnon. Les Coèfores. Les Eumènides. Traducció de Carles Riba.,
Lletres a Lucili I,Sèneca,1,1,Despatx,Epistola,Fundació Bernat Metge,Català;Llatí,Llibres I - V,
Sobre la corona,Demòstenes,1,1,Despatx,Retòrica,Fundació Bernat Metge,Català;Grec,Discurs polític,
Amfitrió,Plaute,1,1,Despatx,Teatre,Fundació Bernat Metge,Català;Llatí,,
La comèdia dels ases,Plaute,1,1,Despatx,Teatre,Fundació Bernat Metge,Català;Llatí,,
Olímpiques,Píndar,1,1,Despatx,Poesia,Fundació Bernat Metge,Català;Grec,,
Guerra de les Gàl·lies I,Cesar,1,2,Despatx,Història,Fundació Bernat Metge,Català;Llatí,,
Mètode,Arquímedes,1,2,Despatx,Didàctic,Fundació Bernat Metge,Català;Grec,Mètode d'Arquímedes sobre teoremes mecànics dedicatt a Eratóstenes. Traducció Joan Vaqué Jordi catedràtic de grec,
De la natura I,Lucreci,1,2,Despatx,Didàctic;Assaig,Fundació Bernat Metge,Català;Llatí,,
Defensa de sòcrates,Plató,1,2,Despatx,Diàlegs,Fundació Bernat Metge,Català;Grec,,
Critó,Plató,1,2,Despatx,Diàlegs,Fundació Bernat Metge,Català;Grec,,
Eutífron,Plató,1,2,Despatx,Diàlegs,Fundació Bernat Metge,Català;Grec,,
Laques,Plató,1,2,Despatx,Diàlegs,Fundació Bernat Metge,Català;Grec,,
Història de Roma I,Titus Livi,1,2,Despatx,Història,Fundació Bernat Metge,Català;Llatí,,
Obres menors de Tàcit,Tàcit,1,2,Despatx,Diàlegs;Història,Fundació Bernat Metge,Català;Llatí,"Diàlegs dels oradors, Agrícola, Germània",
Tiberi,Suetoni,1,2,Despatx,Història,Fundació Bernat Metge,Català;Llatí,,
Calígula,Suetoni,1,2,Despatx,Història,Fundació Bernat Metge,Català;Llatí,,
La guerra de Jugurta,Sal·lusti,1,2,Despatx,Història,Fundació Bernat Metge,Català;Llatí,,
El convit,Plató,1,2,Despatx,Diàlegs,Fundació Bernat Metge,Català;Grec,,
Fedón,Plató,1,2,Despatx,Diàlegs,Fundació Bernat Metge,Català;Grec,,
Elegíes,Properci,1,2,Despatx,Poesia,Fundació Bernat Metge,Català;Llatí,,
Poesies,Catul,1,2,Despatx,Poesia,Fundació Bernat Metge,Català;Llatí,,
De la brevetat de la vida,Sèneca,1,2,Despatx,Assaig,Fundació Bernat Metge,Català;Llatí,,
De la vida benaurada,Sèneca,1,2,Despatx,Assaig,Fundació Bernat Metge,Català;Llatí,,
De la providència,Sèneca,1,2,Despatx,Assaig,Fundació Bernat Metge,Català;Llatí,,
Catilinaries,Ciceró,1,2,Despatx,Retòrica,Fundació Bernat Metge,Català;Llatí,,
Poètic,Aristòtil,1,2,Despatx,Assaig,Fundació Bernat Metge,Català;Grec,,
Constitució d'Atenes,Aristòtil,1,2,Despatx,Assaig,Fundació Bernat Metge,Català;Grec,,
Història I,Heròdot,1,2,Despatx,Història,Fundació Bernat Metge,Català;Grec,,
Història II,Heròdot,1,2,Despatx,Història,Fundació Bernat Metge,Català;Grec,,
